metodo,pasos,recompensa_total,costo_total,costo_promedio,distancia_inicial,distancia_final,progreso_distancia,recompensa_por_100_compute,progreso_por_100_compute,compute_por_progreso,indice_sobrepensamiento,advertencia
Adaptive rollout budget,120,-61.69999999999995,1983.0,16.525,832.3460693359375,460.9642639160156,371.3818054199219,-3.111447302067572,18.728280656577,5.339518444523203,1.0,normal
GoT Navigation Graph,120,-43.099999999999994,38887.0,324.05833333333334,832.3460693359375,647.8893432617188,184.45672607421875,-0.11083395479208988,0.47434033500712,210.8190946875706,39.48279173074303,posible_sobrepensamiento
RL-of-Thoughts Navigator,120,-57.299999999999955,240.0,2.0,832.3460693359375,425.97161865234375,406.37445068359375,-23.874999999999982,169.32268778483072,0.5905883098612069,0.11060703619574143,eficiente
