paso,metodo,escenario,seed,recompensa_paso,recompensa_total,costo_decision,costo_total,accion,bloque_razonamiento,posicion_x,posicion_y,distancia_a_meta,sobre_arena,colision_borde,meta_alcanzada
11,GoT Navigation Graph,obstaculos_densos,123,0.1,1.0999999999999999,385.0,4254.0,0,GRAPH,100.23442077636719,107.47805786132812,772.2532958984375,False,False,False
11,Adaptive rollout budget,obstaculos_densos,123,0.1,1.0999999999999999,3.0,33.0,0,Adaptive rollout budget,126.0,60.0,779.3561401367188,False,False,False
12,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.2,2.0,24.0,0,ACT,117.600830078125,100.61939239501953,761.863525390625,False,False,False
12,GoT Navigation Graph,obstaculos_densos,123,0.1,1.2,376.0,4630.0,0,GRAPH,103.23442077636719,112.67420959472656,766.8623046875,False,False,False
12,Adaptive rollout budget,obstaculos_densos,123,0.1,1.2,3.0,36.0,0,Adaptive rollout budget,132.0,60.0,774.6380004882812,False,False,False
13,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.3,2.0,26.0,0,ACT,122.19709777832031,104.47611999511719,755.8845825195312,False,False,False
13,GoT Navigation Graph,obstaculos_densos,123,0.1,1.3,376.0,5006.0,0,GRAPH,106.23442077636719,117.870361328125,761.4802856445312,False,False,False
13,Adaptive rollout budget,obstaculos_densos,123,0.1,1.3,3.0,39.0,0,Adaptive rollout budget,138.0,60.0,769.9376831054688,False,False,False
14,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.4000000000000001,2.0,28.0,0,ACT,126.79336547851562,108.33284759521484,749.9059448242188,False,False,False
14,GoT Navigation Graph,obstaculos_densos,123,0.1,1.4000000000000001,376.0,5382.0,0,GRAPH,109.23442077636719,123.06651306152344,756.1076049804688,False,False,False
14,Adaptive rollout budget,obstaculos_densos,123,0.1,1.4000000000000001,3.0,42.0,0,Adaptive rollout budget,144.0,60.0,765.2554931640625,False,False,False
15,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.5000000000000002,2.0,30.0,0,ACT,131.38963317871094,112.1895751953125,743.9276123046875,False,False,False
15,GoT Navigation Graph,obstaculos_densos,123,0.1,1.5000000000000002,376.0,5758.0,0,GRAPH,112.23442077636719,128.26266479492188,750.7444458007812,False,False,False
15,Adaptive rollout budget,obstaculos_densos,123,0.1,1.5000000000000002,27.0,69.0,1,Adaptive rollout budget,150.0,60.0,760.5918579101562,False,False,False
16,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.6000000000000003,2.0,32.0,0,ACT,135.98590087890625,116.04630279541016,737.94970703125,False,False,False
16,GoT Navigation Graph,obstaculos_densos,123,0.1,1.6000000000000003,375.0,6133.0,1,GRAPH,115.23442077636719,133.4588165283203,745.3909912109375,False,False,False
16,Adaptive rollout budget,obstaculos_densos,123,0.1,1.6000000000000003,27.0,96.0,1,Adaptive rollout budget,155.63815307617188,62.052120208740234,754.9257202148438,False,False,False
